@relation WCR_original-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute ' forum_id' numeric
@attribute ' posted_time' numeric
@attribute ' deleted' numeric
@attribute ' approved' numeric
@attribute ' unresolved' numeric
@attribute ' anonymous' numeric
@attribute ' title_has_lecture' numeric
@attribute ' title_has_quiz_assignment_grade_project' numeric
@attribute ' posts_count_request' numeric
@attribute ' posts_count_thanks' numeric
@attribute ' posts_countLogistics' numeric
@attribute ' posts_count_problems' numeric
@attribute ' meanposttimes' numeric
@attribute ' varposttimes' numeric
@attribute ' meanDiffFromLandmarks' numeric
@attribute ' numStudentOnlyPostsVotes' numeric
@attribute ' last_updated_time_StudentPostsOnly' numeric
@attribute instructor_replied {0,1}
@attribute ' numStudentPostsOnly' numeric

@data
4,1361768987,0,0,0,0,0,0,0,0,0,0,1360000000,53000000000,237962.4444,-8,1360000000,0,9
15,1361769752,0,0,0,0,0,0,0,0.034749,0.11583,0.007722,1360000000,132000000000,182687.2664,313,1370000000,0,259
15,1361770390,0,0,0,0,0,0,0,0,0,0,1360000000,76600000,211394,3,1360000000,0,3
15,1361770623,0,0,0,0,0,0,0,0,0,0,1360000000,3410000000,176013.3333,0,1360000000,0,3
15,1361770654,0,0,0,0,0,0,0,0.25,0,0,1360000000,25700000000,162914.5,6,1360000000,0,4
9,1361771366,0,0,0,0,1,0,0,0,0.5,0.5,1360000000,27722.25,219120.5,-7,1360000000,0,2
7,1361773951,0,0,1,0,0,0,0,0,0.9,0.4,1360000000,24500000000,173995.7,2,1360000000,0,10
15,1361774073,0,0,0,0,0,0,0,0,0,0,1360000000,0,216580,2,1360000000,0,1
9,1361774147,0,0,0,0,0,0,0,0,0.6,0.4,1360000000,394000000,191569.4,6,1360000000,0,5
20,1361774901,0,0,0,0,0,0,0,0.133333,0.133333,0.133333,1360000000,1650000000,183392.9333,28,1360000000,0,15
15,1361775906,0,0,0,0,0,0,0,0,0,0,1360000000,26928.66667,214571,1,1360000000,0,3
4,1361776244,0,0,0,0,0,0,0,0,0,0,1360000000,241000000000,188825.25,-2,1360000000,0,4
17,1361776952,0,0,0,0,0,0,0,0.5,0,0,1360000000,2590000000,155802.75,7,1360000000,1,4
15,1361777958,0,0,0,0,0,0,0,0,0,0,1360000000,121000000,190705.6,5,1360000000,0,5
