@relation WCR_correctFormat_20-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
15,1362380090,0,0,0,0,0,0,0,0,0,0,1360000000,0,389437,0,1360000000,0,1
15,1361839246,0,0,0,0,0,0,0,0.333333,0,0,1360000000,1480000000,101300.6667,7,1360000000,0,3
14,1364883223,0,0,0,0,0,0,0,0.142857,0.142857,0,1370000000,45300000000,199403.7143,6,1370000000,0,7
13,1364567716,0,0,0,0,0,0,0,0,1,0,1360000000,259000000,313462,0,1360000000,0,2
22,1365602922,0,0,0,0,0,0,2,0,0,3,1370000000,0,136218,1,1370000000,0,1
13,1361920669,0,0,0,0,0,0,0,0,0,0,1360000000,5300000000,62368,4,1360000000,0,4
32,1365417444,0,0,0,0,0,0,0,0,0,0,1370000000,157000000000,281384.8571,6,1370000000,0,7
34,1365775864,0,0,0,0,0,0,0,0,0,0,1370000000,10200000000,87548,5,1370000000,0,3
15,1361900052,0,0,0,0,0,0,0,0,0,0,1360000000,0,90601,0,1360000000,0,1
15,1361785020,0,0,0,0,0,0,0,0,0,0,1360000000,6255001,203132,2,1360000000,0,2
15,1361818915,0,0,0,0,0,0,0,0,0,0,1360000000,4470000000,67934.5,0,1360000000,0,4
4,1366729667,0,0,0,0,0,0,0,1.25,0,0,1370000000,33200000000,161027.75,2,1370000000,0,4
3,1363737416,0,0,1,0,0,0,0,0,0,0,1360000000,0,273724,0,1360000000,1,1
22,1367378533,0,0,0,0,0,0,5,0,4,2,1370000000,0,88607,0,1370000000,0,1
7,1362335669,0,0,0,0,0,0,0,0,2.5,0.25,1360000000,3210000000,440955,0,1360000000,0,4
32,1364954138,0,0,0,0,0,0,0,1,0.5,0,1370000000,34100000000,184778,3,1370000000,0,2
14,1364933631,0,0,0,0,0,0,0,0,0,0,1360000000,0,114309,0,1360000000,0,1
15,1361784586,0,0,0,0,0,0,0,0,0,0,1360000000,0,206067,0,1360000000,0,1
3,1364310307,0,0,1,0,0,0,0,0,4,0,1360000000,0,39967,1,1360000000,1,1
14,1362352912,0,0,0,0,0,0,0,0,0,0,1360000000,124000000000,182898.5,2,1360000000,0,2
15,1361807072,0,0,0,0,0,0,0,0.5,0.5,0,1360000000,985056.25,182588.5,0,1360000000,0,2
7,1362437059,0,0,0,0,0,0,0,0,0,0.666667,1360000000,481000000,470056,0,1360000000,1,3
13,1364336728,0,0,0,0,1,0,0,0,0,0,1360000000,0,66388,0,1360000000,0,1
4,1361894670,0,0,0,0,0,0,0,0,0,0,1360000000,3249006.25,94180.5,0,1360000000,0,2
15,1361893144,1,0,0,0,0,0,0,0,1,0,1360000000,0,97509,0,1360000000,0,1
15,1362090006,0,0,0,0,0,0,0,0,0,0,1360000000,0,99353,0,1360000000,0,1
22,1366441635,0,0,0,0,1,0,0,0,1,0,1370000000,0,356895,0,1370000000,1,1
21,1364976611,0,0,0,0,0,0,0,0,0,0,1360000000,0,71329,0,1360000000,0,1
3,1361893267,0,0,0,0,1,0,0,0.111111,1.666667,0.222222,1360000000,34400000000,181787.8889,1,1360000000,0,9
7,1365425829,0,0,1,1,1,0,0,0.5,2.5,0.5,1370000000,25300000,308277.5,2,1370000000,1,2
14,1363947543,0,0,0,0,0,0,0,0,0,0,1360000000,0,63597,0,1360000000,0,1
15,1362146518,0,0,0,0,0,0,0,0,0,0,1360000000,0,155865,0,1360000000,0,1
