@relation GHC_80_upsampled-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
7,1370000000,0,0,1,0,0,0,0,0,0.333333,0.333333,1370000000,795000000,35681.33333,1,1370000000,0,3
12,1370000000,0,0,0,0,0,0,0,0,1,0,1370000000,26732.25,327653.5,0,1370000000,0,2
9,1370000000,0,0,1,0,0,0,0,0.666667,1.666667,2,1370000000,184000000000,236203.3333,0,1370000000,0,3
14,1370000000,0,0,0,0,0,1,0,0.166667,0.666667,0,1370000000,2740000000,83836.16667,0,1370000000,0,6
2,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,289,111954,0,1370000000,0,2
13,1370000000,0,0,0,0,0,0,0,0,0,0.333333,1370000000,18700000000,160803,2,1370000000,0,3
2,1370000000,0,0,0,0,0,0,0,0.181818,0.272727,0,1370000000,6720000000,286754,13,1370000000,0,11
2,1370000000,0,0,0,1,0,0,0,0,0,1,1370000000,0,257572,0,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0,0,1,0,1370000000,0,4625,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,169160,0,1370000000,0,1
15,1370000000,0,0,0,0,0,0,1,0,3,2,1370000000,0,79440,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,2,0,1370000000,0,271609,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,28288,0,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0,1,0,0,1370000000,13400000,139290,1,1370000000,0,2
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,136000000,121480.5,0,1370000000,0,2
2,1370000000,0,0,0,0,1,0,0,0,0,0.5,1370000000,3680000000,60669.5,0,1370000000,0,2
2,1370000000,0,0,0,0,0,0,0,0,0,1,1370000000,0,265826,0,1370000000,0,1
7,1370000000,0,0,1,1,0,0,0,0,0,1,1370000000,975156.25,117401.5,0,1370000000,0,2
17,1370000000,0,0,0,0,1,0,0,0,1.2,0,1370000000,521000000,113569,7,1370000000,0,5
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,243001,0,1370000000,0,1
12,1370000000,0,0,0,1,0,0,0.333333,0,0,0,1370000000,4940000000,217135,0,1370000000,0,3
9,1370000000,0,0,1,0,0,0,0,0.5,1,1,1370000000,11236,28219,0,1370000000,0,2
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,15800000,200486,0,1370000000,0,2
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,296935,0,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0,0,1,0,1370000000,0,275781,2,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0,0.4,0.8,0,1370000000,964000000,39828.2,1,1370000000,0,5
2,1370000000,0,0,0,0,0,1,0,0,4,0,1370000000,0,361455,0,1370000000,0,1
7,1370000000,0,0,1,0,0,0,0,0,2,1,1370000000,0,117673,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,3,0,1370000000,0,53505,0,1370000000,0,1
4,1370000000,0,0,0,0,0,0,0,0.166667,0,0,1370000000,12700000000,161573.3333,1,1370000000,0,6
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,164310,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,263835,0,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,143350,5,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,88400000,23035.33333,3,1370000000,0,3
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,29116,1,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0.5,1,0,1370000000,7569,39693,0,1370000000,0,2
2,1370000000,0,0,0,1,0,0,0,0,1,0,1370000000,0,276109,0,1370000000,0,1
17,1370000000,0,0,0,0,0,0,0,0.666667,0.333333,0,1370000000,48200000,11817.66667,1,1370000000,0,3
2,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,222819,0,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0.166667,0,0.166667,0.666667,1370000000,1530000000,96315.16667,12,1370000000,0,6
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,237728,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,406406.25,92851.5,0,1370000000,0,2
12,1370000000,0,0,0,0,0,0,0,0,2,0,1370000000,0,141196,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,248899,0,1370000000,0,1
