@relation GHC_correctFormat_20-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
12,1366633351,0,0,0,0,0,0,0,0,0,0,1370000000,0,235842,0,1370000000,0,1
7,1366658734,0,0,1,0,0,0,0,0,3,1,1370000000,0,261225,0,1370000000,0,1
2,1366697165,0,0,0,0,0,0,0,0,0.5,0,1370000000,192000000,313526.5,5,1370000000,0,2
14,1367486545,0,0,0,0,0,0,0,0,0.5,0,1370000000,6479570.25,232018.5,0,1370000000,0,2
13,1366800378,0,0,0,1,0,0,0,0,0,0,1370000000,11800000,267158.25,1,1370000000,0,4
18,1367030274,0,0,0,0,0,0,0,0,1,0.5,1370000000,15000000,39221,11,1370000000,1,2
12,1366554533,0,0,0,0,0,0,0,0,0,0,1370000000,142000000,168932.5,2,1370000000,0,2
2,1367523739,0,0,0,0,0,0,0,0,3,0,1370000000,0,266667,0,1370000000,0,1
12,1367046111,0,0,0,0,0,0,0,0,0,0,1370000000,0,27259,1,1370000000,0,1
14,1367221565,0,0,0,0,0,0,0,0,0.5,0,1370000000,1142761,14694,1,1370000000,0,2
12,1366676555,0,0,0,0,0,0,0,0,0,0,1370000000,0,279046,0,1370000000,0,1
2,1367639551,0,0,0,0,0,0,0,0,0,0,1370000000,405000000,141388,0,1370000000,0,4
12,1366550526,0,0,0,0,0,0,0,0,1,0,1370000000,0,153017,0,1370000000,0,1
16,1369176842,0,0,0,0,1,0,0,0,2,0,1370000000,326000000,172559,1,1370000000,0,2
13,1366668517,0,0,0,1,1,0,0.333333,0.666667,1.333333,0,1370000000,111000000,281843.3333,3,1370000000,0,3
12,1366788679,0,0,0,0,0,0,0,0,0,0,1370000000,0,284691,0,1370000000,0,1
3,1367829082,0,0,1,0,0,1,0,0,6,0.5,1370000000,16200000,20366.5,0,1370000000,1,2
2,1370141366,0,0,0,0,0,0,0,0,0,3,1370000000,0,90574,0,1370000000,0,1
12,1366510214,0,0,0,0,0,0,0,0,1,0,1370000000,0,112705,0,1370000000,0,1
7,1367821562,0,0,1,0,1,0,0,0,0,1,1370000000,0,8822,1,1370000000,0,1
2,1369322535,0,0,0,0,0,0,0,0.333333,0.333333,0.666667,1370000000,36300000000,112749.3333,2,1370000000,0,3
4,1366513985,0,0,0,1,0,0,0.047619,0.190476,0,0,1370000000,47600000000,233872.8095,12,1370000000,0,21
17,1369335401,0,0,0,0,0,0,0,0,0,0,1370000000,0,291739,1,1370000000,0,1
14,1367254566,0,0,0,0,1,0,0,0,0.333333,0,1370000000,69000000,6675.333333,1,1370000000,0,3
4,1366834551,0,0,0,0,0,0,0,0,0,0,1370000000,30000000,233344.5,0,1370000000,0,2
2,1370190984,0,0,0,0,0,0,0,0,1,0,1370000000,0,40956,2,1370000000,0,1
14,1367394869,0,0,0,0,1,0,0,0,2,0,1370000000,0,137797,0,1370000000,0,1
3,1368627264,0,0,1,1,0,0,0,0,5,0,1370000000,0,36924,0,1370000000,0,1
12,1367405894,0,0,0,0,0,0,0,0,0,0,1370000000,0,148822,0,1370000000,0,1
15,1368239076,0,0,0,0,0,0,0,0,0.777778,0.222222,1370000000,4340000000,275324.6667,9,1370000000,0,9
2,1370865655,0,0,0,0,0,0,0,0,0,0,1370000000,0,2723,0,1370000000,0,1
2,1368422431,0,0,0,0,0,0,0,0,1,0,1370000000,0,167909,1,1370000000,1,1
12,1366930408,0,0,0,0,0,0,0,0,1,0,1370000000,0,142962,-1,1370000000,0,1
12,1367590507,0,0,0,0,0,0,0,0,0,0,1370000000,0,222233,0,1370000000,0,1
9,1368366615,0,0,1,0,0,0,0,0,0,2,1370000000,0,223725,0,1370000000,1,1
16,1367596617,0,0,0,0,1,0,0,0,3,0.142857,1370000000,260000000000,113059.2857,3,1370000000,1,7
12,1366658348,0,0,0,0,0,0,0,0,0,0,1370000000,0,260839,0,1370000000,0,1
12,1366566409,0,0,0,0,0,0,0,0,0,0,1370000000,0,168900,1,1370000000,0,1
7,1368936651,0,0,1,0,0,0,0,0,0,1,1370000000,0,85689,0,1370000000,0,1
7,1369753778,0,0,1,0,0,0,0,0,0.166667,0.166667,1370000000,968000000,63859.5,18,1370000000,0,6
2,1366780053,0,0,0,0,0,0,0,0,0,0,1370000000,46700000,286482.5,3,1370000000,0,2
12,1367531231,0,0,0,0,0,0,0,0,0,0,1370000000,745000000000,254523,0,1370000000,0,2
12,1366822258,0,0,0,0,0,0,0,0,0,0,1370000000,0,251112,0,1370000000,0,1
2,1366675110,0,0,0,0,0,0,0,0,1,0,1370000000,0,277601,0,1370000000,0,1
2,1367860952,0,0,0,0,0,0,0,0.32,0.56,0,1370000000,150000000000,125918.8,137,1370000000,0,25
7,1367095609,0,0,1,0,0,0,0,0,1.5,0,1370000000,26700000,27410,1,1370000000,1,2
15,1368300064,0,0,0,0,0,0,0,0,0,0,1370000000,0,290276,0,1370000000,0,1
12,1366512882,0,0,0,0,0,0,0,0.03139,0.125561,0,1370000000,81200000000,196151.3274,161,1370000000,0,223
12,1366591089,0,0,0,0,0,0,0,0,0,0,1370000000,0,193580,0,1370000000,0,1
14,1367167617,0,0,0,0,0,0,0,0.5,0.5,0,1370000000,11800000,36894.5,1,1370000000,0,2
12,1366506487,0,0,0,0,0,0,0,0,0,0,1370000000,0,108978,0,1370000000,0,1
2,1369184625,0,0,0,0,1,0,0.25,0.25,0.625,0.5,1370000000,2230000000,211702.625,1,1370000000,0,8
12,1366602093,0,0,0,0,0,0,0,0,0,0,1370000000,0,204584,0,1370000000,0,1
3,1367201183,0,0,1,0,0,0,0,0,2,0,1370000000,9980000000,75357,0,1370000000,0,2
2,1369785121,0,0,0,0,0,0,0,0,0.666667,0.333333,1370000000,64800000,77561.33333,3,1370000000,0,3
14,1368783609,0,0,0,0,0,0,0,0,1,0,1370000000,80000000,202210.5,2,1370000000,0,2
13,1366592535,0,0,0,0,0,0,0,0,0.333333,0,1370000000,232000000,208724,3,1370000000,0,3
12,1366548214,0,0,0,0,0,0,0,0,0,0,1370000000,2160000000,215886.8,1,1370000000,0,5
12,1366532844,0,0,0,0,0,0,0,0,0.666667,0,1370000000,47100000000,98691,8,1370000000,0,3
7,1369542719,0,0,1,0,0,1,0,0,1.444444,0.555556,1370000000,927000000,49171,29,1370000000,1,9
12,1367038409,0,0,0,1,0,0,0,0,0,0,1370000000,287000000,18031.5,2,1370000000,0,2
14,1366649494,0,0,0,0,1,0,0,0,0.25,0,1370000000,424000000,271971.5,0,1370000000,0,4
2,1368876327,0,0,0,0,1,0,0,0.4,0.4,0.2,1370000000,1350000000,119547.4,9,1370000000,1,5
2,1368413309,0,0,0,0,0,0,0,0,0,0,1370000000,0,177031,0,1370000000,1,1
12,1366505067,0,0,0,0,0,0,0,0,0,0,1370000000,643000000,132920,0,1370000000,0,2
9,1367964764,0,0,1,0,0,1,0,0,5,1,1370000000,0,152024,1,1370000000,1,1
12,1368538405,0,0,0,1,0,0,0,0,0,0,1370000000,52200000000,18933.66667,0,1370000000,0,3
2,1368092173,0,0,0,1,0,0,0,0.666667,0,0,1370000000,94600000,288552,0,1370000000,0,3
17,1368932033,0,0,0,0,0,0,0,0,0,0,1370000000,0,90307,0,1370000000,0,1
15,1367705438,0,0,0,0,0,0,0,0,6,0,1370000000,0,107302,0,1370000000,0,1
12,1371238346,0,0,0,0,0,0,0,0,0,0,1370000000,0,369968,0,1370000000,0,1
17,1369260065,0,0,0,0,1,0,0,0.75,0,0,1370000000,19100000000,191100.25,6,1370000000,0,4
7,1369414411,0,0,0,0,0,1,0,0,1.666667,0.333333,1370000000,490000000,182277,1,1370000000,0,3
2,1367412192,0,0,0,0,0,0,0,0,2,0,1370000000,0,155120,5,1370000000,1,1
18,1369493343,0,0,0,0,0,0,0,0,0,0,1370000000,10800000000,73263.5,2,1370000000,0,2
13,1366741394,0,0,0,0,1,0,0,1,0,0,1370000000,28000000,326468.75,13,1370000000,1,4
2,1371441763,0,0,0,1,0,0,0,0,0,0,1370000000,0,573385,0,1370000000,0,1
12,1367080275,0,0,0,0,0,0,0,0,0,0,1370000000,0,6904,0,1370000000,0,1
12,1366602179,0,0,0,0,0,0,0,0,0,0,1370000000,0,204670,0,1370000000,0,1
2,1368403825,0,0,0,0,0,0,0,0,1,0,1370000000,0,186515,0,1370000000,1,1
9,1368239605,0,0,1,0,0,0,0,0,0,2,1370000000,0,350735,0,1370000000,1,1
9,1368483181,0,0,1,0,0,0,0,0.5,2.666667,0,1370000000,2100000000,60490.83333,1,1370000000,0,6
7,1366901770,0,0,1,0,1,0,0,0,0.666667,0.333333,1370000000,13100000,167066.6667,1,1370000000,0,3
7,1370206317,0,0,1,0,1,0,0,0,0,0,1370000000,0,25623,0,1370000000,1,1
12,1366684199,0,0,0,0,0,0,0,0,0,0,1370000000,7876442.25,289496.5,0,1370000000,0,2
12,1368371522,0,0,0,0,0,0,0,0,0,0,1370000000,0,218818,0,1370000000,0,1
12,1367974612,0,0,0,0,0,0,0,0,0,0,1370000000,238000000,177298,0,1370000000,0,2
2,1370712335,0,0,0,0,0,0,0,0,0,0,1370000000,440896,155379,3,1370000000,0,2
2,1366807320,0,0,0,0,0,0,0,0,2,0,1370000000,0,266050,2,1370000000,0,1
14,1367248539,0,0,0,0,0,0,0,0,0.666667,0,1370000000,27300000000,121495.6667,3,1370000000,0,3
12,1366641587,0,0,0,0,0,0,0,0,0,0,1370000000,0,244078,0,1370000000,0,1
13,1366558204,0,0,0,0,1,0,0,0.833333,0.416667,0,1370000000,8930000000,230429.1667,37,1370000000,1,12
12,1366967702,0,0,0,0,0,0,0,0,0,0,1370000000,111000000000,181719.5,4,1370000000,0,4
2,1367251167,0,0,0,0,0,1,0,0,8.8,0,1370000000,6420000000,81768.2,1,1370000000,0,5
12,1366523560,0,0,0,0,0,0,0,0,0,0,1370000000,0,126051,0,1370000000,0,1
13,1369570772,0,0,0,0,0,0,0,0,4,0,1370000000,15900000,52382,0,1370000000,0,2
12,1366578391,0,0,0,0,0,0,0,0,0,0,1370000000,0,180882,0,1370000000,0,1
12,1366591152,0,0,0,0,0,0,0,0,0,0,1370000000,0,193643,0,1370000000,0,1
12,1367952524,0,0,0,0,0,0,0,0,0,0,1370000000,0,139784,0,1370000000,0,1
2,1368227787,1,0,0,0,0,0,0,0,2,2,1370000000,0,362553,0,1370000000,0,1
12,1366737262,0,0,0,0,0,0,0,0,0,0,1370000000,0,336108,0,1370000000,0,1
7,1367183567,0,0,1,1,0,0,0,0,1.5,0,1370000000,83000000,15264,2,1370000000,1,2
7,1368041677,0,0,1,0,0,0,0,0,0,0,1370000000,0,228937,3,1370000000,0,1
12,1367601891,0,0,0,0,0,0,0,0.5,0,0,1370000000,521000000000,237816,0,1370000000,0,4
7,1369646345,0,0,1,0,1,0,0,0,2,0,1370000000,0,19205,2,1370000000,0,1
12,1366640574,0,0,0,0,0,0,0,0,0,0,1370000000,0,243065,1,1370000000,0,1
14,1367255556,0,0,0,0,1,1,0,0,1,0,1370000000,552049,772,2,1370000000,1,2
12,1366699607,0,0,0,0,0,0,0,0,0,0,1370000000,0,302098,0,1370000000,0,1
