@relation WCR_80_upsampled-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
13,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,16000000000,408579.5,0,1360000000,0,2
13,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,7628644,403350,4,1360000000,0,2
3,1370000000,0,0,1,1,0,0,0.071429,0.428571,1.071429,0.571429,1370000000,17800000000,360541.8571,28,1370000000,0,14
3,1370000000,0,0,1,1,0,0,0.5,0,0.5,0.5,1370000000,3530000000,98257.5,0,1370000000,0,2
21,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,1170000000,29711.33333,7,1360000000,0,6
9,1360000000,0,0,1,0,0,0,0,0,2.5,0.5,1360000000,28100000,67544.5,1,1360000000,0,2
9,1360000000,0,0,0,0,1,0,0,0,1,2,1360000000,110000000,473669.5,0,1360000000,0,2
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,4624,284782,0,1360000000,0,2
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,15800000000,124707.5714,0,1360000000,0,7
15,1360000000,0,0,0,0,0,0,0,0,0.25,0.25,1360000000,153000000000,158137.25,4,1360000000,0,4
13,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,82665,2,1360000000,0,1
13,1370000000,0,0,0,1,0,0,0,0,0,0,1370000000,0,278098,1,1370000000,0,1
25,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,11300000,232734,5,1360000000,0,2
25,1360000000,0,0,0,0,0,0,0,0,0.666667,0,1360000000,147000000,87813,1,1360000000,0,3
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,14400000000,110820.4286,0,1360000000,0,7
7,1360000000,0,0,1,0,0,0,0,0,0.9,0.4,1360000000,24500000000,173995.7,2,1360000000,0,10
20,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,424389,0,1360000000,0,1
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,390903,0,1360000000,0,1
32,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,126000000,274435.3333,9,1370000000,0,9
14,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,358116,1,1370000000,0,1
13,1360000000,0,0,0,0,1,0,0,0,4,0,1360000000,0,63828,0,1360000000,0,1
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,257000000000,75166.5,0,1360000000,0,2
13,1370000000,0,0,0,0,0,0,0,0.25,0.25,0,1370000000,412000000000,367207.75,3,1370000000,0,4
13,1360000000,0,0,0,0,0,0,0,0.5,0.25,0.75,1360000000,8260000000,232217.5,0,1360000000,0,4
13,1360000000,0,0,0,0,0,0,0,0,1,0,1360000000,5073756.25,313803.5,2,1360000000,0,2
21,1360000000,0,0,0,0,0,0,0,0,0.428571,0.142857,1360000000,20700000000,163746.2857,5,1360000000,0,7
14,1360000000,0,0,0,0,0,0,0,0.5,0,0,1360000000,83900000,352789.5,1,1360000000,0,2
7,1370000000,0,0,1,0,0,0,0,0,0,0,1370000000,0,96792,2,1370000000,0,1
20,1370000000,0,0,0,0,0,1,0,0,4.666667,0,1370000000,564000000,22684.33333,1,1370000000,0,3
13,1370000000,0,0,0,0,0,0,0,0.666667,0,0,1370000000,7283874.667,40622,1,1370000000,0,3
25,1360000000,0,0,0,0,0,0,0,0,0.4,0,1360000000,4920000000,52551.2,10,1360000000,0,5
37,1370000000,0,0,0,0,1,0,0,1,0.5,1,1370000000,392000000,281922,0,1370000000,0,2
25,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,129248,0,1360000000,0,1
22,1370000000,0,0,0,1,1,0,0,0,0.75,1.5,1370000000,37900000000,175353.5,3,1370000000,0,4
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,109533,0,1360000000,0,1
32,1360000000,0,0,0,0,0,0,0,0,2.5,0,1360000000,5909761,50769,4,1360000000,0,2
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,181455,0,1360000000,0,1
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,98300000,187383.25,1,1360000000,0,4
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,22800000,83705,0,1360000000,0,2
